train/reward,time/time_elapsed,train/policy_loss,time/total_timesteps,train/entropy_loss,train/value_loss,train/std,train/learning_rate,train/n_updates,time/fps,train/explained_variance,time/iterations
-1.8752604,315,19.14011573791504,30000,-43.169456481933594,1.602466344833374,1.0208433866500854,0.0007,5999,95,1.1920928955078125e-07,6000
-0.07748837,320,-227.4667510986328,30500,-43.19797134399414,32.563655853271484,1.0224305391311646,0.0007,6099,95,0.0,6100
-0.00059684896,325,-89.37244415283203,31000,-43.14153289794922,5.874814033508301,1.0202749967575073,0.0007,6199,95,0.0,6200
0.0,330,-55.1688346862793,31500,-43.201316833496094,1.8684742450714111,1.022384762763977,0.0007,6299,95,0.0,6300
-0.78497684,335,-22.7393856048584,32000,-43.19965362548828,0.43707799911499023,1.0223448276519775,0.0007,6399,95,1.1920928955078125e-07,6400
-3.458472e-06,341,39.31388854980469,32500,-43.263763427734375,4.142013072967529,1.0243030786514282,0.0007,6499,95,0.004675507545471191,6500
2.2395225,346,51.5986328125,33000,-43.2459716796875,2.8404624462127686,1.0237374305725098,0.0007,6599,95,0.0074694156646728516,6600
2.0053358,352,-34.09105682373047,33500,-43.339447021484375,0.7760514616966248,1.0270992517471313,0.0007,6699,95,0.0,6700
0.9805539,356,16.616863250732422,34000,-43.38475036621094,0.44143015146255493,1.028671383857727,0.0007,6799,95,0.0,6800
-1.8248355e-05,361,53.6533088684082,34500,-43.42251968383789,2.190272808074951,1.0299643278121948,0.0007,6899,95,5.960464477539063e-08,6900
2.5667038,366,5.429868221282959,35000,-43.48139953613281,0.20869500935077667,1.0320764780044556,0.0007,6999,95,0.0,7000
-0.00043983248,371,42.977272033691406,35500,-43.532318115234375,1.086280107498169,1.0339479446411133,0.0007,7099,95,0.0,7100
1.6424463,376,325.22283935546875,36000,-43.56944274902344,84.8963394165039,1.0352169275283813,0.0007,7199,95,0.0,7200
-10.333753,381,-405.7690124511719,36500,-43.62465286254883,172.2972412109375,1.037111759185791,0.0007,7299,95,0.0,7300
-1.8686401,386,12.695526123046875,37000,-43.72785568237305,0.8375843167304993,1.0407071113586426,0.0007,7399,95,0.0,7400
0.0,390,91.43476867675781,37500,-43.73907470703125,4.25791072845459,1.0410823822021484,0.0007,7499,95,0.0,7500
-0.20963731,395,-81.09266662597656,38000,-43.798301696777344,8.030258178710938,1.0430022478103638,0.0007,7599,95,-1.1920928955078125e-07,7600
-0.00012676,401,57.84674835205078,38500,-43.88368225097656,2.087759256362915,1.0459972620010376,0.0007,7699,95,0.0,7700
